loss,hyperparameters,iteration,runtime,score
434529.0800981044,"{'boosting_type': 'dart', 'colsample_bytree': 0.3693817408144351, 'learning_rate': 0.05589745767605632, 'max_depth': 10, 'num_leaves': 59, 'reg_alpha': 0.4729564012832349, 'reg_lambda': 0.07318473314994, 'subsample': 0.5519433082214324, 'n_estimators': 5000}",49,321.0175817999998,434529.0800981044
469670.0942235792,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.4630191398514657, 'learning_rate': 0.15026658425641184, 'max_depth': 1, 'num_leaves': 78, 'reg_alpha': 0.9809125893674445, 'reg_lambda': 0.8775948309617375, 'subsample': 0.7403069373196173, 'n_estimators': 612}",50,1.6253890000002684,469670.0942235792
444122.9813310653,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.3031173508782764, 'learning_rate': 0.3855913386834502, 'max_depth': 10, 'num_leaves': 96, 'reg_alpha': 0.28312047010358604, 'reg_lambda': 0.0006855959659270994, 'subsample': 0.665657637971598, 'n_estimators': 57}",51,1.0495167999997648,444122.9813310653
432095.99709130276,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.34555296301117455, 'learning_rate': 0.06721191746081955, 'max_depth': 3, 'num_leaves': 88, 'reg_alpha': 0.3564693148890563, 'reg_lambda': 0.11270834321622814, 'subsample': 0.6247298934971125, 'n_estimators': 870}",52,3.254929600000196,432095.99709130276
444140.291216341,"{'boosting_type': 'dart', 'colsample_bytree': 0.42023223015015454, 'learning_rate': 0.4201564356281249, 'max_depth': 8, 'num_leaves': 43, 'reg_alpha': 0.5416251370682268, 'reg_lambda': 0.7789422956151203, 'subsample': 0.7827518303908055, 'n_estimators': 5000}",53,280.42997909999985,444140.291216341
425301.8109554023,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.3975944003931634, 'learning_rate': 0.12420601727878842, 'max_depth': 9, 'num_leaves': 104, 'reg_alpha': 0.14079132631944075, 'reg_lambda': 0.1886912657531355, 'subsample': 0.7098589443557649, 'n_estimators': 127}",54,2.0801151000000573,425301.8109554023
434177.27332159056,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5159969825376589, 'learning_rate': 0.2501477287149294, 'max_depth': 10, 'num_leaves': 85, 'reg_alpha': 0.2145187990590543, 'reg_lambda': 0.2956488749898065, 'subsample': 0.4469024763892412, 'n_estimators': 60}",55,1.0837760999997954,434177.27332159056
437018.2466118572,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.4696452342174113, 'learning_rate': 0.2850241150611928, 'max_depth': 8, 'num_leaves': 105, 'reg_alpha': 0.44354825613251037, 'reg_lambda': 0.9452182977820685, 'subsample': 0.556509441394804, 'n_estimators': 37}",56,0.7635606000003463,437018.2466118572
425166.8076297301,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5418548049613304, 'learning_rate': 0.16574163420442659, 'max_depth': 9, 'num_leaves': 114, 'reg_alpha': 0.36832151447327, 'reg_lambda': 0.8874796871327828, 'subsample': 0.8225960075054544, 'n_estimators': 112}",57,1.5511437000000114,425166.8076297301
448074.5986389954,"{'boosting_type': 'dart', 'colsample_bytree': 0.5968076866396097, 'learning_rate': 0.21444672966006573, 'max_depth': 2, 'num_leaves': 65, 'reg_alpha': 0.6164526674335804, 'reg_lambda': 0.810679940469083, 'subsample': 0.40478260755758966, 'n_estimators': 5000}",58,75.17792299999974,448074.5986389954
427180.9111675174,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.56433455980182, 'learning_rate': 0.18778779756134784, 'max_depth': 9, 'num_leaves': 122, 'reg_alpha': 0.39774734065629086, 'reg_lambda': 0.9962439058287316, 'subsample': 0.7652189375802058, 'n_estimators': 53}",59,1.2571497999997518,427180.9111675174
434030.6009082943,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7230001997186178, 'learning_rate': 0.2047747008290203, 'max_depth': 6, 'num_leaves': 94, 'reg_alpha': 0.29790959182276483, 'reg_lambda': 0.032813977712331494, 'subsample': 0.6275210147607269, 'n_estimators': 74}",60,0.5925105000001167,434030.6009082943
421063.3718960636,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.46712518485070087, 'learning_rate': 0.05161784631916529, 'max_depth': 4, 'num_leaves': 145, 'reg_alpha': 0.4493784873214406, 'reg_lambda': 0.7141512914024586, 'subsample': 0.5869863798965872, 'n_estimators': 828}",61,3.7532916000000114,421063.3718960636
444022.1315589406,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.324699725661192, 'learning_rate': 0.05807359970333086, 'max_depth': 2, 'num_leaves': 144, 'reg_alpha': 0.7531142627892106, 'reg_lambda': 0.7183240979832046, 'subsample': 0.3723043172097806, 'n_estimators': 815}",62,2.4802770999999666,444022.1315589406
430051.8523730628,"{'boosting_type': 'dart', 'colsample_bytree': 0.4613230779404662, 'learning_rate': 0.05194441226915197, 'max_depth': 3, 'num_leaves': 145, 'reg_alpha': 0.5703173712032016, 'reg_lambda': 0.5173614434440346, 'subsample': 0.5733855571326015, 'n_estimators': 5000}",63,116.72082630000023,430051.8523730628
424608.47021317773,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.4131764337771145, 'learning_rate': 0.07207566742875891, 'max_depth': 4, 'num_leaves': 139, 'reg_alpha': 0.44674820159041917, 'reg_lambda': 0.4564959271779022, 'subsample': 0.5197070161240389, 'n_estimators': 658}",64,3.279054599999654,424608.47021317773
469031.64019049786,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5182041521099847, 'learning_rate': 0.050265821097175686, 'max_depth': 1, 'num_leaves': 127, 'reg_alpha': 0.6464206319194172, 'reg_lambda': 0.6614661495676428, 'subsample': 0.49262502421941384, 'n_estimators': 1667}",65,4.579317499999888,469031.64019049786
425903.57873490173,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6272819053082785, 'learning_rate': 0.062331252520568946, 'max_depth': 4, 'num_leaves': 136, 'reg_alpha': 0.5238230926198587, 'reg_lambda': 0.7304056317532501, 'subsample': 0.5990020798497283, 'n_estimators': 694}",66,2.6790693000002648,425903.57873490173
422232.53328854946,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5569050391622365, 'learning_rate': 0.08060451008464234, 'max_depth': 5, 'num_leaves': 99, 'reg_alpha': 0.26744942216715784, 'reg_lambda': 0.8721182971169283, 'subsample': 0.6767708033864449, 'n_estimators': 511}",67,2.3237773999999263,422232.53328854946
421442.7142533736,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.3907177795068635, 'learning_rate': 0.08191215580055389, 'max_depth': 5, 'num_leaves': 119, 'reg_alpha': 0.223218601262878, 'reg_lambda': 0.8246978907974978, 'subsample': 0.7177565791001348, 'n_estimators': 519}",68,2.610087100000783,421442.7142533736
431123.7926888373,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.3467244137119284, 'learning_rate': 0.06507179075874939, 'max_depth': 3, 'num_leaves': 119, 'reg_alpha': 0.22161635250224754, 'reg_lambda': 0.6221703643549815, 'subsample': 0.7191858509160867, 'n_estimators': 885}",69,3.22107589999996,431123.7926888373
423167.2876003147,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.4490516496633618, 'learning_rate': 0.09417427537476596, 'max_depth': 5, 'num_leaves': 150, 'reg_alpha': 0.1592691698619232, 'reg_lambda': 0.8148745783873068, 'subsample': 0.6569562149226468, 'n_estimators': 307}",70,1.9307982999998785,423167.2876003147
422177.8828797061,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.3782141065537086, 'learning_rate': 0.0582197457504271, 'max_depth': 4, 'num_leaves': 113, 'reg_alpha': 0.10636464619409376, 'reg_lambda': 0.5796787605838563, 'subsample': 0.7617332119393981, 'n_estimators': 961}",71,4.346238400000402,422177.8828797061
421874.4235488771,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.3940573828767616, 'learning_rate': 0.07246091584796625, 'max_depth': 5, 'num_leaves': 124, 'reg_alpha': 0.45873137474368936, 'reg_lambda': 0.75383451849771, 'subsample': 0.8560622196501467, 'n_estimators': 602}",72,2.972950299999866,421874.4235488771
